+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-03-28 22:00:00 | 2019-04-08 13:30:00 |
+--------------+---------------------+---------------------+
+--------+-------------+--------------+---------------+
| ident  | xref_id     | pending_time | reaction_time |
| 337198 | jira-61472  |     3211.021 |         0.155 |
| 331552 | jira-59752  |     8764.724 |         0.155 |
| 333896 | jira-61737  |    21203.613 |         0.155 |
| 333924 | jira-61765  |    21464.753 |         0.155 |
| 341151 | jira-60682  |     8836.939 |         0.155 |
| 336934 | jira-61370  |     1195.545 |         0.156 |
| 349521 | jira-26052  |    18432.046 |         0.156 |
| 356234 | caagc-43427 |      476.169 |         0.156 |
| 328189 | jira-58858  |      891.597 |         0.156 |
| 332760 | jira-60662  |   777331.930 |         0.156 |
| 332805 | jira-60702  |   777716.573 |         0.156 |
| 333632 | jira-61472  |    19123.267 |         0.156 |
| 331563 | jira-59759  |     8819.811 |         0.157 |
| 332347 | jira-60393  |   773790.936 |         0.157 |
| 332578 | jira-60479  |   775925.781 |         0.157 |
| 333566 | jira-61407  |    18611.459 |         0.157 |
| 335374 | jira-63155  |    30607.737 |         0.157 |
| 350613 | jira-58610  |    22801.345 |         0.157 |
| 328180 | jira-58856  |      822.217 |         0.157 |
| 337065 | jira-61761  |     2199.285 |         0.158 |
| 337154 | jira-61737  |     2896.187 |         0.158 |
| 332140 | jira-60196  |   772185.207 |         0.158 |
| 333663 | jira-61503  |    19383.566 |         0.158 |
| 333914 | jira-61750  |    21368.845 |         0.158 |
| 350611 | jira-58609  |    22801.418 |         0.158 |
| 350615 | jira-58605  |    22801.653 |         0.158 |
| 341179 | jira-60471  |     9097.908 |         0.159 |
| 328148 | jira-58837  |      533.441 |         0.159 |
| 332100 | jira-60162  |   771828.448 |         0.159 |
| 333648 | jira-61487  |    19286.286 |         0.159 |
| 333801 | jira-61642  |    20437.798 |         0.159 |
| 332639 | jira-60543  |   776407.725 |         0.160 |
| 332745 | jira-60643  |   777234.688 |         0.160 |
| 333526 | jira-61370  |    18295.443 |         0.160 |
| 333551 | jira-61392  |    18513.199 |         0.160 |
| 343146 | jira-63839  |    15830.395 |         0.160 |
| 336928 | jira-61688  |     1127.867 |         0.160 |
| 337123 | jira-61036  |     2610.662 |         0.160 |
| 337183 | jira-61352  |     3047.849 |         0.160 |
| 337321 | jira-61507  |     8165.846 |         0.160 |
| 345779 | jira-52096  |     9820.755 |         0.160 |
| 328121 | jira-58826  |      338.941 |         0.160 |
| 328172 | jira-58850  |      725.305 |         0.160 |
| 328219 | jira-58869  |     1112.693 |         0.160 |
| 328225 | jira-58871  |     1182.779 |         0.160 |
