+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 18:30:00 | 2019-04-02 19:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 30214 | caagc-51495 |        0.010 |         0.454 |
| 30194 | caagc-51493 |        0.011 |         0.456 |
| 30222 | caagc-51475 |        0.010 |         0.456 |
| 30132 | caagc-51493 |        0.007 |         0.457 |
| 30137 | caagc-51497 |        0.010 |         0.462 |
| 30180 | caagc-51514 |        0.010 |         0.463 |
| 30187 | caagc-51492 |        0.011 |         0.464 |
| 30161 | caagc-51544 |        0.010 |         0.466 |
| 30177 | caagc-51497 |        0.012 |         0.466 |
| 30006 | caagc-47104 |        0.012 |         0.475 |
| 30220 | caagc-51507 |        0.008 |         0.476 |
| 30213 | caagc-51471 |        0.010 |         0.479 |
| 30155 | caagc-51546 |        0.010 |         0.481 |
| 30186 | caagc-51509 |        0.010 |         0.482 |
| 30205 | caagc-51489 |        0.010 |         0.482 |
| 30196 | caagc-51498 |        0.007 |         0.484 |
| 29876 | caagc-46577 |        0.014 |         0.485 |
| 29890 | caagc-46621 |        0.009 |         0.485 |
| 30136 | caagc-51498 |        0.007 |         0.487 |
| 30185 | caagc-51470 |        0.007 |         0.491 |
| 30162 | caagc-51545 |        0.010 |         0.492 |
| 29885 | caagc-46580 |        0.009 |         0.493 |
| 30146 | caagc-51509 |        0.010 |         0.493 |
| 29581 | caagc-50662 |        0.009 |         0.494 |
| 30212 | caagc-51503 |        0.010 |         0.495 |
| 30158 | caagc-51540 |        0.010 |         0.496 |
| 30172 | caagc-51541 |        0.022 |         0.498 |
| 30135 | caagc-51507 |        0.018 |         0.499 |
| 29698 | caagc-46005 |        0.009 |         0.500 |
| 29881 | caagc-46582 |        0.012 |         0.500 |
| 30188 | caagc-51491 |        0.010 |         0.503 |
| 29989 | caagc-46586 |        0.009 |         0.504 |
| 29855 | caagc-46575 |        0.009 |         0.506 |
| 30160 | caagc-51539 |        0.010 |         0.506 |
| 29983 | caagc-46579 |        0.011 |         0.508 |
| 30191 | caagc-51499 |        0.011 |         0.508 |
| 29906 | caagc-46616 |        0.010 |         0.509 |
| 29419 | caagc-45584 |        0.008 |         0.510 |
| 30010 | caagc-46590 |        0.010 |         0.510 |
| 30201 | caagc-51510 |        0.036 |         0.510 |
| 29844 | caagc-46608 |        0.008 |         0.512 |
| 30002 | caagc-46603 |        0.010 |         0.512 |
| 29895 | caagc-46593 |        0.009 |         0.514 |
| 29897 | caagc-46587 |        0.011 |         0.515 |
| 30208 | caagc-51480 |        0.009 |         0.516 |
| 30004 | caagc-46597 |        0.012 |         0.519 |
| 30156 | caagc-51549 |        0.007 |         0.519 |
| 30189 | caagc-51512 |        0.008 |         0.520 |
| 30165 | caagc-51542 |        0.010 |         0.521 |
| 29565 | caagc-51153 |        0.009 |         0.522 |
| 29578 | caagc-46759 |        0.008 |         0.523 |
| 30026 | caagc-46584 |        0.010 |         0.524 |
| 29898 | caagc-46602 |        0.011 |         0.525 |
| 30022 | caagc-46615 |        0.009 |         0.527 |
| 30170 | caagc-51547 |        0.011 |         0.527 |
| 30175 | caagc-51511 |        0.007 |         0.527 |
| 30166 | caagc-51543 |        0.011 |         0.528 |
| 29978 | caagc-46614 |        0.009 |         0.530 |
| 30203 | caagc-51486 |        0.010 |         0.530 |
| 29574 | caagc-50689 |        0.009 |         0.531 |
| 29896 | caagc-46597 |        0.009 |         0.533 |
| 30021 | caagc-46592 |        0.009 |         0.534 |
| 29907 | caagc-46584 |        0.009 |         0.536 |
| 29830 | caagc-46611 |        0.010 |         0.538 |
| 29892 | caagc-46620 |        0.010 |         0.538 |
| 29829 | caagc-46582 |        0.009 |         0.539 |
| 29994 | caagc-46576 |        0.014 |         0.539 |
| 29996 | caagc-46616 |        0.009 |         0.539 |
| 29823 | caagc-46590 |        0.008 |         0.540 |
| 29878 | caagc-46624 |        0.009 |         0.540 |
| 30154 | caagc-51531 |        0.010 |         0.540 |
| 30207 | caagc-51478 |        0.012 |         0.540 |
| 29813 | caagc-46612 |        0.009 |         0.541 |
| 29872 | caagc-46588 |        0.018 |         0.542 |
