+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| 5c76bd97-4fa4-4bda-a349-b50f020a023d | caagc-48624 | INSERT        |      3 | 2019-03-26 15:02:15 | Project is required |
| edbba28d-045b-4855-8829-d68788214a4b | caagc-48504 | INSERT        |      3 | 2019-03-26 00:36:05 | Project is required |
| a6c75906-6908-4436-9d66-5cb73002304f | caagc-48503 | INSERT        |      3 | 2019-03-26 00:35:47 | Project is required |
| 104cdc91-fa7a-47c3-867b-33b1b0166a50 | caagc-48502 | INSERT        |      3 | 2019-03-26 00:27:10 | Project is required |
| e699b590-22c8-4756-b77e-31cbdecbeda2 | caagc-48501 | INSERT        |      3 | 2019-03-26 00:20:23 | Project is required |
| 095de364-b1f4-4247-affc-012dd1d75b91 | caagc-48500 | INSERT        |      3 | 2019-03-26 00:18:13 | Project is required |
| 46aa5aec-513e-46ec-bba9-4348a5a95c32 | caagc-48499 | INSERT        |      3 | 2019-03-26 00:15:31 | Project is required |
| e8a376bd-3a5c-497a-9b5c-80f765459d7e | caagc-48498 | INSERT        |      3 | 2019-03-26 00:09:31 | Project is required |
| c31a9f63-26bd-4d0d-a1fb-075cbc859459 | caagc-47777 | INSERT        |      3 | 2019-03-25 12:10:17 | Project is required |
| 55ba3d23-4e26-4a17-91c3-4c8c6dcedd5f | caagc-47688 | INSERT        |      3 | 2019-03-22 20:34:16 | Project is required |
| 8776810a-2418-4d02-86c7-8d52d4bddf88 | caagc-47687 | INSERT        |      3 | 2019-03-22 20:30:55 | Project is required |
| ff8defd9-a655-4cd4-8dd1-9a562325909e | caagc-47312 | INSERT        |      3 | 2019-03-22 17:04:14 | Project is required |
| 777da2df-20fa-4c7e-8b1d-3ab1a2f0654e | caagc-47238 | INSERT        |      3 | 2019-03-22 16:30:59 | Project is required |
| 3c69c40e-2253-44d6-abd6-9180ea7c7dcb | caagc-47172 | INSERT        |      3 | 2019-03-22 15:34:05 | Project is required |
| b01a8b5a-8a1c-4953-82bc-ba74ae40d607 | caagc-47171 | INSERT        |      3 | 2019-03-22 15:28:14 | Project is required |
| 8798f523-67a0-4b20-b680-bf3c7364dd2b | caagc-47185 | INSERT        |      3 | 2019-03-22 14:59:50 | Project is required |
| 7f1e5eb1-bc78-4a9b-9969-5679431e4aa2 | caagc-47170 | INSERT        |      3 | 2019-03-22 14:58:01 | Project is required |
| 409d566b-7b35-4a60-800e-999e11ef7eb1 | caagc-47169 | INSERT        |      3 | 2019-03-22 14:45:14 | Project is required |
| e17c95e4-3ed4-4828-bedf-686f4cbd6fdd | caagc-47168 | INSERT        |      3 | 2019-03-22 14:38:00 | Project is required |
| 566e8f21-95c0-43b7-a1a2-0986da4f70ce | caagc-47183 | INSERT        |      3 | 2019-03-22 13:48:33 | Project is required |
| 6fd3c7b7-553d-467a-a415-2d928c8c1f8e | caagc-47182 | INSERT        |      3 | 2019-03-22 13:45:44 | Project is required |
