+------------------+---------------+--------+--------------------------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                                               |
| PCDA-403         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-393         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-218         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-517         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-244         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-258         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-230         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-212         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-206         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-181         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-400         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-179         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-398         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-516         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-409         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-220         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-68          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-509         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-461         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-405         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-69          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-237         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
