+------------------+---------------+--------+------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                           |
| CHEX-5065        | INSERT        |      3 | reason Project CHEX93 not found in Agile Central.    |
| CHEX-5066        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5068        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5070        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5071        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5071        | INSERT        |      3 | reason Project CHEX104 not found in Agile Central.   |
| CHEX-5126        | INSERT        |      3 | reason Project CHEX98 not found in Agile Central.    |
| CHEX-5144        | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| AEX-8302         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8304         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8307         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8308         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8310         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8311         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8312         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8344         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8344         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8345         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8345         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8350         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8350         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8351         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8352         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8352         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8353         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8353         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8354         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8356         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8356         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8366         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8366         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8367         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8369         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8369         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8370         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8372         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8372         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8373         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8374         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8375         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8374         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8376         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8377         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8377         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8378         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8379         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8380         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8381         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CHEX-5261        | UPDATE        |      3 | reason Project CHEX86 not found in Agile Central.    |
| DXINDP-1258      | INSERT        |      3 | reason Project DXINDP57 not found in Agile Central.  |
| DXINDP-1258      | UPDATE        |      3 | reason Project DXINDP80 not found in Agile Central.  |
| CB-16716         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16706         | UPDATE        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16719         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16723         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CHEX-5323        | INSERT        |      3 | reason Project CHEX91 not found in Agile Central.    |
| AEX-8441         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8442         | INSERT        |      3 | reason Project AEX173 not found in Agile Central.    |
| CB-16783         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16784         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16785         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16786         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16787         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16788         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16789         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16790         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| CB-16791         | INSERT        |      3 | reason Project CB176 not found in Agile Central.     |
| AEX-8453         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| AEX-8453         | UPDATE        |      3 | reason Project AEX173 not found in Agile Central.    |
| DXINDP-1264      | INSERT        |      3 | reason Project DXINDP97 not found in Agile Central.  |
| DXINDP-1265      | INSERT        |      3 | reason Project DXINDP97 not found in Agile Central.  |
| CBC-3871         | INSERT        |      3 | reason Project CBC104 not found in Agile Central.    |
| CBC-3406         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3486         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3864         | INSERT        |      3 | reason Project CBC104 not found in Agile Central.    |
| CBC-4001         | INSERT        |      3 | reason Project CBC104 not found in Agile Central.    |
| CBC-3773         | INSERT        |      3 | reason Project CBC104 not found in Agile Central.    |
| CBC-3494         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
