+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 13:00:00 | 2019-04-02 22:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 29298 | jira-17707  |        0.016 |         0.170 |
| 29311 | jira-17713  |        0.020 |         0.170 |
| 29427 | caagc-51149 |        0.008 |         0.170 |
| 29186 | jira-12203  |        0.032 |         0.172 |
| 29279 | jira-17697  |        0.029 |         0.172 |
| 29416 | caagc-46119 |        0.008 |         0.172 |
| 29435 | caagc-45787 |        0.009 |         0.172 |
| 29254 | jira-17688  |        0.011 |         0.173 |
| 29425 | caagc-46779 |        0.007 |         0.173 |
| 29192 | jira-12406  |        0.043 |         0.175 |
| 29268 | jira-17692  |        0.040 |         0.176 |
| 29251 | jira-11941  |        0.007 |         0.178 |
| 29272 | caagc-45629 |        0.033 |         0.178 |
| 29294 | jira-17706  |        0.082 |         0.182 |
| 29314 | jira-12865  |        0.024 |         0.183 |
| 29433 | caagc-46120 |        0.008 |         0.184 |
| 29174 | jira-12465  |        0.046 |         0.185 |
| 29291 | jira-17703  |        0.014 |         0.185 |
| 29286 | caagc-45685 |        0.033 |         0.186 |
| 29411 | caagc-50689 |        0.008 |         0.187 |
| 29156 | jira-17638  |        0.031 |         0.191 |
| 29324 | jira-11978  |        0.007 |         0.191 |
| 29438 | caagc-46104 |        0.008 |         0.191 |
| 29275 | jira-11943  |        0.059 |         0.192 |
| 29292 | jira-17705  |        0.012 |         0.192 |
| 29177 | jira-12776  |        0.081 |         0.196 |
| 29224 | jira-17659  |        0.010 |         0.197 |
| 29443 | caagc-46105 |        0.008 |         0.197 |
| 29171 | jira-12402  |        0.040 |         0.199 |
| 29202 | jira-17642  |        0.015 |         0.199 |
| 29288 | jira-17447  |        0.016 |         0.199 |
| 29222 | jira-17657  |        0.007 |         0.201 |
| 29249 | jira-17678  |        0.152 |         0.201 |
| 29413 | jira-12865  |        0.008 |         0.201 |
| 29431 | caagc-45665 |        0.012 |         0.201 |
| 29296 | jira-11968  |        0.052 |         0.205 |
| 29258 | caagc-46114 |        0.009 |         0.206 |
| 29271 | caagc-50683 |        0.111 |         0.207 |
| 29317 | jira-17715  |        0.017 |         0.207 |
| 29283 | caagc-51149 |        0.020 |         0.209 |
| 29412 | jira-12869  |        0.008 |         0.213 |
| 29276 | jira-17698  |        0.009 |         0.214 |
| 29278 | jira-11971  |        0.009 |         0.216 |
| 29561 | caagc-50676 |        0.008 |         0.216 |
| 29206 | caagc-45686 |        0.019 |         0.220 |
| 29422 | caagc-51157 |        0.034 |         0.220 |
| 29303 | jira-17710  |        0.009 |         0.221 |
| 29253 | jira-17686  |        0.017 |         0.224 |
| 29420 | caagc-45629 |        0.008 |         0.224 |
| 29277 | jira-11957  |        0.012 |         0.226 |
| 29212 | jira-17649  |        0.011 |         0.227 |
| 29264 | caagc-45565 |        0.028 |         0.228 |
| 30027 | jira-17786  |        0.010 |         0.228 |
| 29196 | jira-12900  |        0.009 |         0.229 |
| 29554 | caagc-45681 |        0.010 |         0.231 |
| 29301 | jira-17708  |        0.011 |         0.233 |
| 29217 | jira-17655  |        0.068 |         0.238 |
| 29312 | caagc-50678 |        0.009 |         0.239 |
| 29252 | jira-11944  |        0.051 |         0.240 |
