+------------------+---------------+----------------+-------------------------------------------------------------------------+
| source_object_id | source_action | start_position | reason_str                                                              |
| PCDA-238         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-510         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-180         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-61          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-209         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-511         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-251         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-459         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-67          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-448         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-208         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-233         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-70          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-528         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-219         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-506         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-214         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-403         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-393         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-218         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-517         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-244         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-258         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-230         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-212         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-206         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-181         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-400         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-179         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-398         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-516         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-409         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-220         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-68          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-509         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-461         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-405         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-69          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-237         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-249         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-246         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-211         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-3           | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-458         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-236         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-213         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-526         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-4           | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-1           | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-256         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-390         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-453         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-217         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-495         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-456         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-451         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-254         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-223         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-445         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-496         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-250         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-499         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-515         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-397         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-395         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-225         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-514         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-73          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-446         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-261         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-498         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-229         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-227         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-520         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-239         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-394         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-241         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-522         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-407         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-216         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-519         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-460         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-457         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-178         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-513         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-512         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-245         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-408         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-524         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-391         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-527         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-66          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-260         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-75          | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-401         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-494         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-500         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-215         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-399         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-253         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-502         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-505         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-257         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
| PCDA-503         | INSERT        |            376 | reason Project PNC IT Data and Analytics ART not found in Agile Central |
+------------------+---------------+----------------+-------------------------------------------------------------------------+
